# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
0,0.000258889847,4.34374798e-05,0.0828729604,0.0432946806,-0.66596735,0.0605948002,0.742254221,0.0100486105,0.0356762154,0.169748942,-0.163938311,-0.0151034241,-0.0152080909,-0.0105364959,-0.0395068799,-0.170550312,0.17028242,0.0139434764,0.0143845848,0.000565582173,-0.260927986,0.153385941,-0.294796143,0.257015814,-0.158359324,0.29480936
0.02,0.000172507129,4.08839782e-05,0.0829250829,0.0432661607,-0.66500291,0.0606586779,0.743114859,0.00818797122,0.0364237012,0.227729282,-0.278841414,-0.0475123513,-0.0248912103,-0.00874535417,-0.0405246187,-0.229926088,0.288197922,0.046292223,0.0236079589,0.000594954499,-0.250236349,0.161651607,-0.398865985,0.246043359,-0.167031903,0.399109362
0.04,-7.61749913e-05,-4.37405958e-05,0.0785759515,0.0433092634,-0.665013992,0.0606552198,0.743102713,0.00262930501,0.0356640214,0.26111038,-0.33723569,-0.081588884,-0.0306070331,-0.00334200691,-0.0406243021,-0.264456545,0.347830873,0.080521757,0.0290018358,0.000612001795,-0.241279692,0.159888305,-0.454687571,0.236940699,-0.165539357,0.455223561
0.06,-0.000677236168,-0.000410915142,0.0784327445,0.0434740784,-0.664959589,0.0603309537,0.743168168,-0.00222158181,0.0340532643,0.273041863,-0.364195887,-0.10996564,-0.0457444498,0.00118849471,-0.0396896885,-0.277700871,0.374971535,0.109614515,0.0331526294,0.000714396902,-0.2442928,0.158359782,-0.486153926,0.23977346,-0.163898426,0.487267531
0.08,-0.00160369373,-0.00079924555,0.0791024432,0.0436574962,-0.665202384,0.0599495612,0.742970969,-0.00573116658,0.0340929087,0.275395648,-0.374894562,-0.129226473,-0.0886590733,0.00437390556,-0.0393125084,-0.280740264,0.3848566,0.129893943,0.0410522429,0.000929048961,-0.261234262,0.157452102,-0.503076288,0.25683393,-0.162407513,0.505586992
0.1,-0.00169937723,-0.00200177411,0.0801089287,0.0444746596,-0.664700811,0.0591521931,0.743435172,-0.00864743245,0.0387711957,0.275330718,-0.376799059,-0.139347449,-0.163958606,0.00828725689,-0.0409829857,-0.281751362,0.383061216,0.140547848,0.0575697882,-0.000168840219,-0.288980275,0.155637096,-0.516544611,0.284285679,-0.160553999,0.514745994
0.12,-0.00123120246,-0.00325139912,0.0805306531,0.0442181295,-0.663650411,0.0610254122,0.744237051,-0.0144657094,0.0383864779,0.277438049,-0.375367944,-0.145492973,-0.174,0.014251258,-0.0444208544,-0.279469003,0.375185195,0.142496858,0.0874319905,-0.00334170503,-0.299468137,0.154616027,-0.530897662,0.312423712,-0.158716445,0.528778631
0.14,-0.00229849796,-0.00304540837,0.0810912905,0.0434976552,-0.662055506,0.0619748793,0.745620262,-0.0226942475,0.0367824572,0.28067397,-0.372863226,-0.148960133,-0.174,0.0234428542,-0.0488307399,-0.281165646,0.361304325,0.137043221,0.134486324,-0.00128918164,-0.301244834,0.15268074,-0.54261742,0.323573627,-0.158292814,0.542306116
0.16,-0.00310384224,-0.00271856681,0.0804465679,0.044394189,-0.660330691,0.0625479256,0.747047717,-0.0318336522,0.0340588181,0.284876242,-0.369178086,-0.150361258,-0.174,0.0344882619,-0.0549688478,-0.279414655,0.348584878,0.125919725,0.174,0.001308487,-0.300974135,0.149595973,-0.554789814,0.330193428,-0.156204898,0.555187098
0.18,-0.00415602176,-0.00215652122,0.0795265152,0.0450945791,-0.658822242,0.0621329202,0.748371053,-0.0428874468,0.0318774266,0.288993795,-0.365761424,-0.149955897,-0.174,0.0492895701,-0.0581357934,-0.278069277,0.335194568,0.116495889,0.174,0.00381676378,-0.301168776,0.146483627,-0.56655094,0.334151709,-0.153564226,0.56782437
0.2,-0.00519192339,-0.00144285134,0.0799716614,0.0465227576,-0.657492558,0.060968209,0.749547895,-0.0528574469,0.0292479901,0.290761459,-0.364003411,-0.148462942,-0.174,0.0651351174,-0.059325697,-0.277813984,0.322731114,0.109250241,0.174,0.00606968463,-0.301923294,0.143759234,-0.578079731,0.33424201,-0.15085385,0.577573553
0.22,-0.00587443424,-0.00108653419,0.0798545881,0.0477179902,-0.656572744,0.0602215471,0.750338984,-0.0621862134,0.0273058848,0.291948095,-0.361837602,-0.147470851,-0.174,0.0811853566,-0.062246392,-0.277119328,0.313394431,0.103278689,0.174,0.00833400384,-0.302965211,0.141445321,-0.589021515,0.333758253,-0.148720006,0.585950574
