# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
# WARNING: ZKY joint limits disabled; visualization only, do not send to hardware
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
0,0.000258889847,4.34374798e-05,0.0828729604,0.0432946806,-0.66596735,0.0605948002,0.742254221,0.0100486105,0.0356762154,0.169748942,-0.163938311,-0.0151034241,-0.0152080909,-0.0105364959,-0.0395068799,-0.170550312,0.17028242,0.0139434764,0.0143845848,0.000565582173,-0.260927986,0.153385941,-0.294796143,0.257015814,-0.158359324,0.29480936
0.02,0.000172507129,4.08839782e-05,0.0829250829,0.0432661607,-0.66500291,0.0606586779,0.743114859,0.00818797122,0.0364237012,0.227729282,-0.278841414,-0.0475123513,-0.0248912103,-0.00874535417,-0.0405246187,-0.229926088,0.288197922,0.046292223,0.0236079589,0.000594954499,-0.250236349,0.161651607,-0.398865985,0.246043359,-0.167031903,0.399109362
0.04,-7.61749913e-05,-4.37405958e-05,0.0785759515,0.0433092634,-0.665013992,0.0606552198,0.743102713,0.00262930501,0.0356640214,0.26111038,-0.33723569,-0.081588884,-0.0306070331,-0.00334200691,-0.0406243021,-0.264456545,0.347830873,0.080521757,0.0290018358,0.000612001795,-0.241279692,0.159888305,-0.454687571,0.236940699,-0.165539357,0.455223561
0.06,-0.000677236168,-0.000410915142,0.0784327445,0.0434740784,-0.664959589,0.0603309537,0.743168168,-0.00222158181,0.0340532643,0.273041863,-0.364195887,-0.10996564,-0.0457444498,0.00118849471,-0.0396896885,-0.277700871,0.374971535,0.109614515,0.0331526294,0.000714396902,-0.2442928,0.158359782,-0.486153926,0.23977346,-0.163898426,0.487267531
0.08,-0.00160369373,-0.00079924555,0.0791024432,0.0436574962,-0.665202384,0.0599495612,0.742970969,-0.00573116658,0.0340929087,0.275395648,-0.374894562,-0.129226473,-0.0886590733,0.00437390556,-0.0393125084,-0.280740264,0.3848566,0.129893943,0.0410522429,0.000929048961,-0.261234262,0.157452102,-0.503076288,0.25683393,-0.162407513,0.505586992
0.1,-0.00169937723,-0.00200177411,0.0801089287,0.0444746596,-0.664700811,0.0591521931,0.743435172,-0.00864743245,0.0387711957,0.275330718,-0.376799059,-0.139347449,-0.163958606,0.00828725689,-0.0409829857,-0.281751362,0.383061216,0.140547848,0.0575697882,-0.000168840219,-0.288980275,0.155637096,-0.516544611,0.284285679,-0.160553999,0.514745994
0.12,-0.00123058209,-0.00325481082,0.0805307268,0.0442000011,-0.663651824,0.0610013386,0.744238842,-0.0137334223,0.0391838286,0.277399571,-0.375351648,-0.145543697,-0.214763961,0.0142353463,-0.0443459477,-0.279462649,0.375170708,0.142493442,0.0874258375,-0.00333353674,-0.299486434,0.154634163,-0.530847963,0.312405278,-0.15869841,0.528827999
0.14,-0.002297349,-0.00305173578,0.0810914998,0.0434583257,-0.662059374,0.0619280503,0.745623012,-0.0209800342,0.0383218666,0.280584672,-0.372827912,-0.149020736,-0.248525419,0.0234092675,-0.0486772667,-0.28114402,0.361268116,0.137033718,0.134469774,-0.00128252818,-0.301295411,0.152718465,-0.542483914,0.323522423,-0.158255298,0.542439421
0.16,-0.00310244671,-0.00272580038,0.0804469275,0.0443434701,-0.660336589,0.0624937681,0.747050048,-0.0291886908,0.0361417385,0.284738202,-0.369110614,-0.150394324,-0.272308783,0.0341054578,-0.0550384635,-0.27935265,0.348523347,0.125902449,0.187708655,0.00130003628,-0.301057117,0.149643134,-0.554579269,0.330109719,-0.15615841,0.555398054
0.18,-0.00415464993,-0.00216231285,0.0795271251,0.0450473821,-0.658829779,0.0620901114,0.748370813,-0.0394033596,0.0343339354,0.288806181,-0.365655259,-0.149892758,-0.289519196,0.0478369247,-0.0589144535,-0.277915591,0.335109446,0.116403211,0.222164549,0.00378549055,-0.301270616,0.146525738,-0.566305131,0.33405152,-0.15352335,0.568070591
0.2,-0.00519055895,-0.00144784752,0.0799725481,0.0464813262,-0.657502132,0.0609325706,0.749544965,-0.0486119624,0.0319956235,0.29051886,-0.363831859,-0.148348066,-0.30233469,0.0625243461,-0.0606428526,-0.277554405,0.322607293,0.109023653,0.243907694,0.00602456734,-0.302035868,0.143796207,-0.577823875,0.334134397,-0.150818559,0.577829853
