# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
# joint_limit_profile: hardware
# joint_limit_margin_fraction: 0.05
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
0,0.000435720409,6.14637049e-05,0.0826670132,0.043388315,-0.667891236,0.0604457583,0.740530257,0.00677201518,0.0329538892,0.10101753,-0.038704478,0.00315027171,-0.00496464941,-0.00701516431,-0.0361860665,-0.100208226,0.0413251322,-0.00384960129,0.00462551579,0.000388568474,-0.243119965,0.126663207,-0.165580716,0.23976465,-0.13056247,0.165385492
0.02,0.000311666814,6.0460706e-05,0.0829585042,0.0432959563,-0.665804789,0.060609484,0.74239877,0.011311693,0.0362857231,0.139189814,-0.0949276626,0.00262516605,-0.00971153523,-0.0117464149,-0.0401846285,-0.139025782,0.0992496546,-0.00378059044,0.00913071252,0.00055473075,-0.283018788,0.158138059,-0.245570359,0.279072614,-0.163202079,0.245492259
0.04,2.89623509e-05,-2.7325238e-05,0.0786721511,0.0433377514,-0.665833094,0.0606031186,0.742371465,0.013655735,0.036650661,0.168042297,-0.142626788,-0.00200111432,-0.0138734965,-0.0142914536,-0.041390122,-0.168979278,0.148261671,0.000530345223,0.0130786904,0.00071126649,-0.287065381,0.164439765,-0.298364913,0.283050724,-0.170036833,0.298485291
0.06,-0.000598592217,-0.000397531637,0.0785195713,0.0434931615,-0.665596955,0.0602956207,0.742599136,0.0144198248,0.0356272086,0.187061922,-0.182455762,-0.00954115654,-0.0216534774,-0.0153584144,-0.0412027756,-0.18955674,0.188946054,0.00804581715,0.0168817729,0.000889972738,-0.289277381,0.16443911,-0.338513893,0.285255175,-0.170080456,0.338915345
0.08,-0.00154597828,-0.000787010573,0.0791583572,0.0436950388,-0.665701513,0.0599512489,0.742521438,0.0136955242,0.0353944657,0.200230076,-0.214838828,-0.018344337,-0.0402273645,-0.0152263108,-0.0411850304,-0.203982283,0.221740029,0.0170554454,0.0220887406,0.00102660772,-0.300051652,0.163110744,-0.371291433,0.29626947,-0.168319819,0.372283061
0.1,-0.00165739641,-0.001988894,0.0801336762,0.0445528735,-0.665187857,0.0591922821,0.742991541,0.0112541393,0.0390228569,0.21102802,-0.240147113,-0.0271488953,-0.073463875,-0.0134399955,-0.0430011317,-0.216855805,0.245711472,0.0261539801,0.0307058768,0.000538768884,-0.320522938,0.160713504,-0.400949203,0.316427067,-0.165760838,0.400274965
0.12,-0.00119123807,-0.0032431475,0.0805453575,0.0443275821,-0.664108692,0.060867203,0.743834588,0.00742507165,0.0397033966,0.222463791,-0.259327373,-0.0363297406,-0.10386301,-0.00961395962,-0.0460583578,-0.226251023,0.263006468,0.0343040945,0.0451082647,-0.00454359527,-0.330853779,0.159037591,-0.426136662,0.338859231,-0.163287934,0.427109676
0.14,-0.00225341131,-0.00304363298,0.0811115989,0.043508092,-0.662557292,0.0618175074,0.745186874,0.00227532717,0.0392353296,0.233449089,-0.274210227,-0.0454776357,-0.131090036,-0.00331750336,-0.0503269904,-0.237834669,0.27234935,0.0408938248,0.0677061098,-0.00532311603,-0.333307516,0.156787766,-0.446492033,0.348476514,-0.162272437,0.449280799
0.16,-0.00305307647,-0.00272044946,0.0804642897,0.0443365068,-0.660745109,0.0623427041,0.746701789,-0.00377449142,0.0376996109,0.24453493,-0.285265292,-0.0542336659,-0.155738296,0.00505319237,-0.0563695941,-0.245006543,0.278998998,0.0453519948,0.0958468734,-0.00443503896,-0.332919587,0.153584931,-0.464504324,0.353284631,-0.16020697,0.468557618
0.18,-0.00410073355,-0.00215681568,0.0795396164,0.0450493505,-0.659163417,0.0619817428,0.74808583,-0.0111549645,0.0363578954,0.254371595,-0.294043595,-0.0622515726,-0.17799185,0.0152248073,-0.0608506446,-0.250935619,0.282094724,0.0495364596,0.12086809,-0.00266462589,-0.332190143,0.150203865,-0.480962509,0.355888624,-0.157570362,0.485965025
