# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
# joint_limit_profile: hardware
# joint_limit_margin_fraction: 0.05
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
0,0.00102419482,0.000114756988,0.0815643447,0.0440201525,-0.67843811,0.0595852404,0.730912824,0.000377984881,0.010418597,0.016812766,0.00402522109,6.26741599e-05,-8.43384552e-05,-0.000386691208,-0.0109583773,-0.0162585004,-0.00366492598,-0.000110687647,5.96859769e-05,7.45701177e-05,-0.0424093197,0.0182586502,-0.016500907,0.0418591843,-0.0187328119,0.0164429403
0.02,0.000893359121,0.000107984062,0.0817470714,0.0438666449,-0.675950654,0.0597755944,0.733207548,0.000762165523,0.017819324,0.030732525,0.00668280115,0.00018753007,-0.000215649525,-0.000779890152,-0.0188292719,-0.0298213993,-0.00605566599,-0.000279060822,0.000167913886,0.00012980551,-0.0790460871,0.0344456279,-0.0315591512,0.0780215751,-0.0353553342,0.0314517157
0.04,0.000580758092,1.5968745e-05,0.0775526859,0.0437885443,-0.675101494,0.0598187817,0.733990633,0.0011650511,0.0230516607,0.0430005186,0.00866077601,0.000313787082,-0.000379537592,-0.00119486814,-0.0245871725,-0.0420095444,-0.0078928142,-0.000444830801,0.00030756532,0.000170537921,-0.111792498,0.0488330582,-0.0455495675,0.110361603,-0.0501693485,0.0454138194
0.06,-8.38651495e-05,-0.000357530145,0.0774809929,0.043756926,-0.673334207,0.0596134458,0.73563076,0.00159579992,0.0264389908,0.0530206062,0.00972120063,0.000452714501,-0.000763043312,-0.00163726443,-0.0285490379,-0.0523135192,-0.00898201629,-0.00060802851,0.000491368205,0.000213606319,-0.141740488,0.0616387476,-0.0586444484,0.139963798,-0.0633549411,0.0585050264
0.08,-0.00107122764,-0.000748753029,0.0781398602,0.0438394854,-0.671838264,0.0593932206,0.737010103,0.00202998761,0.0287628026,0.0610237593,0.00994278004,0.00063379163,-0.0017078064,-0.00207968016,-0.0314073986,-0.0608046704,-0.00934148935,-0.000799463427,0.000780384227,0.000247694762,-0.170399895,0.073063235,-0.071151926,0.1683799,-0.0750803261,0.0710487909
0.1,-0.00122745142,-0.00194799469,0.0790858494,0.0447142369,-0.670291442,0.0588954715,0.738404593,0.00238246938,0.0313746739,0.0675017802,0.00954039686,0.000871430335,-0.00343699284,-0.00245147307,-0.0342084261,-0.0683514353,-0.00939297157,-0.00102982838,0.00125983481,0.000261577654,-0.199136081,0.0831744845,-0.0835512297,0.196758231,-0.0854435112,0.083296614
0.12,-0.000798164509,-0.00320613398,0.079502501,0.0448462795,-0.668545231,0.0598491729,0.739901454,0.00265142437,0.033529932,0.0734703209,0.00897053261,0.00109947629,-0.00523744368,-0.00272178146,-0.0369927712,-0.0748107537,-0.00907631087,-0.00132225506,0.00205629142,-0.000910030835,-0.225867465,0.0922036381,-0.0955238145,0.225487809,-0.0946288718,0.0956723178
0.14,-0.00188436073,-0.00302025076,0.0801559821,0.0438333673,-0.667089971,0.0603625046,0.74123274,0.00283817104,0.0352698486,0.0788706205,0.00819805517,0.00131652293,-0.00707684474,-0.00286247645,-0.0400169583,-0.0814673601,-0.00901060464,-0.00165768344,0.00331030113,-0.00225975901,-0.249968663,0.100115407,-0.106772266,0.252059147,-0.102865579,0.107597866
0.16,-0.00269892245,-0.0027110317,0.0796088427,0.0442939316,-0.665309566,0.0602920973,0.742809593,0.00297877029,0.0366292124,0.0844586325,0.00757321228,0.00151461534,-0.00896370253,-0.00279454771,-0.0436399255,-0.0871996699,-0.00863694996,-0.00206933966,0.00494371118,-0.00351119952,-0.271637677,0.106915482,-0.117337569,0.27616556,-0.110048028,0.118918712
0.18,-0.00375441884,-0.00215522756,0.0787815603,0.0447083649,-0.663791045,0.059650374,0.744193822,0.00304181971,0.0376851021,0.0900480546,0.00699643454,0.00170435503,-0.010888663,-0.00252456958,-0.0474221046,-0.092369516,-0.00815142016,-0.00246321168,0.00659428355,-0.00452837831,-0.291183501,0.112708645,-0.127278454,0.297831191,-0.116248892,0.129602559
0.2,-0.00478976817,-0.00144211579,0.0793176814,0.0457079478,-0.66229456,0.058615354,0.745547409,0.00306328455,0.0382091114,0.0949770335,0.00614029882,0.00190535362,-0.0128486141,-0.00212832939,-0.0509596638,-0.0974183167,-0.00773636026,-0.00281860762,0.00824989478,-0.00509331982,-0.308834321,0.117638651,-0.136658742,0.316821501,-0.121542052,0.139514513
0.22,-0.00546966739,-0.00108930522,0.0792794373,0.0464815285,-0.661065552,0.0578712964,0.746647652,0.00301605786,0.0386067234,0.0994851323,0.00513292536,0.00209481158,-0.0147987764,-0.00154711053,-0.0547804251,-0.101940576,-0.00716505947,-0.0031548141,0.00989920113,-0.00520469462,-0.324811019,0.121834748,-0.145523902,0.333393723,-0.126080025,0.148716593
0.24,-0.00615986704,-0.000464376767,0.0789094817,0.0470234778,-0.660176694,0.0580612994,0.747385048,0.00295638138,0.0385134143,0.103686989,0.00401350849,0.00227600052,-0.0167447823,-0.000833228433,-0.0583344467,-0.105723164,-0.00629357663,-0.00349180812,0.0115523368,-0.00515746998,-0.339079525,0.125412613,-0.153867282,0.347987958,-0.129945856,0.157311269
0.26,-0.00626153834,-0.000463721294,0.0777059316,0.0474696677,-0.659644972,0.0587228782,0.747774541,0.00287233441,0.0379294468,0.107752035,0.00286933198,0.00244143379,-0.0186848706,-3.7398499e-05,-0.0614440434,-0.108732205,-0.00507722774,-0.00384384007,0.0132166404,-0.00503150116,-0.351710463,0.128439393,-0.161698983,0.360791584,-0.133259339,0.165330648
0.28,-0.00627486486,-0.000552427363,0.0762826035,0.0478993539,-0.659484483,0.059690203,0.747812107,0.00277210914,0.0370620154,0.112265954,0.00198803758,0.00257592348,-0.0206167203,0.000859505582,-0.0643832713,-0.110829805,-0.0034403593,-0.00421538644,0.014884148,-0.00493192635,-0.362839983,0.131006104,-0.169059904,0.37209012,-0.136161708,0.172838212
