# robot: unitree_r1
# sample_rate: 50.000000
# num_dofs: 26
# source_format: normalized_r1_trajectory
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_waist_roll_joint,dof_waist_yaw_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint,dof_head_pitch_joint,dof_head_yaw_joint
0.0000000000,0.0000000000,0.0000000000,0.0824467646,-0.0433552266,0.6661293790,-0.0606036826,-0.7421045536,-0.3092049956,0.0372709408,-0.1374231130,0.3659622967,-0.1358114034,-0.0592412725,-0.3137230575,-0.0408422388,0.1411801726,0.3772274554,-0.1351834089,0.0573864542,0.0003535346,-0.0003415504,0.2619931400,0.1964574009,-0.0015592107,0.8109863997,0.0028156622,0.2555096745,-0.2036958784,0.0033000770,0.8119248748,0.0006206567,-0.0290194862,-0.0042570233
0.0200000000,-0.0000066297,0.0000066497,0.0824560083,-0.0433705454,0.6661275691,-0.0605972721,-0.7421058065,-0.3091930807,0.0372769020,-0.1374171883,0.3659743429,-0.1358057274,-0.0592502013,-0.3137170672,-0.0408482328,0.1411801398,0.3772214323,-0.1351891011,0.0573774874,0.0003535346,-0.0003595267,0.2619931728,0.1964394629,-0.0015742659,0.8110015392,0.0028156622,0.2555216551,-0.2037019671,0.0033151321,0.8119400740,0.0006357947,-0.0290194862,-0.0042624272
0.0400000000,-0.0002357247,-0.0000743664,0.0781436936,-0.0434306129,0.6663448257,-0.0605826340,-0.7419084173,-0.3094935186,0.0371194921,-0.1364908939,0.3551807282,-0.1356754143,-0.0591195028,-0.3148734707,-0.0413317181,0.1413609749,0.3666538838,-0.1350207550,0.0572212871,0.0003167583,-0.0003458952,0.2710204738,0.1960224497,-0.0015894867,0.8133265528,0.0028417763,0.2642972351,-0.2040058148,0.0047381842,0.8149510348,0.0005298289,-0.0275537557,-0.0042594518
0.0600000000,-0.0008256743,-0.0004406335,0.0780273066,-0.0435975281,0.6665335285,-0.0602242527,-0.7417582830,-0.2988224680,0.0370791927,-0.1340107762,0.3387817941,-0.1323627415,-0.0896790074,-0.3058068620,-0.0414354578,0.1392349184,0.3507228626,-0.1334791972,0.0598599865,0.0003636710,-0.0002097239,0.2867435837,0.1962467023,-0.0036127395,0.8136985126,0.0027829105,0.2797333764,-0.2042261249,0.0074701629,0.8164156872,0.0004365253,-0.0277558908,-0.0042570899
0.0800000000,-0.0017373380,-0.0008299490,0.0787112418,-0.0437548654,0.6669344407,-0.0597988313,-0.7414229989,-0.2876175161,0.0390980007,-0.1326836113,0.3240589521,-0.1241960287,-0.1771572714,-0.2949687999,-0.0423796077,0.1362309498,0.3348744701,-0.1264769544,0.0740498341,0.0001870587,-0.0002232711,0.3134900928,0.1972530569,-0.0074189167,0.8142337659,0.0027630072,0.3054499840,-0.2046022543,0.0124486704,0.8216988009,0.0004087251,-0.0280243285,-0.0042577385
0.1000000000,-0.0018234528,-0.0020337883,0.0797208036,-0.0445573209,0.6665802079,-0.0589954233,-0.7417580547,-0.2794827737,0.0460236455,-0.1325410526,0.3102696486,-0.1122921747,-0.3046984929,-0.2865034179,-0.0466887700,0.1303497421,0.3155410646,-0.1130077280,0.1049571759,0.0000971986,-0.0002097239,0.3423750059,0.1971680103,-0.0131457885,0.8411505582,0.0024670219,0.3395767280,-0.2048904083,0.0192970955,0.8294508897,0.0004046391,-0.0285735178,-0.0039052316
0.1200000000,-0.0013613608,-0.0032846869,0.0801323896,-0.0444249431,0.6657027158,-0.0609882378,-0.7423925871,-0.2791397212,0.0484218730,-0.1218659330,0.3047900985,-0.1096439355,-0.3171113642,-0.2764828748,-0.0548318435,0.1202742909,0.2942589590,-0.0945947925,0.1573134317,-0.0011038280,-0.0012909569,0.3447723126,0.1998569931,-0.0277297655,0.8816513661,0.0027357542,0.3614944401,-0.2054306483,0.0295681605,0.8858175140,-0.0008596323,-0.0292574734,-0.0025084708
0.1400000000,-0.0024328406,-0.0030775457,0.0806821823,-0.0437112869,0.6641495549,-0.0618942434,-0.7437498200,-0.2819080254,0.0504955351,-0.1110412629,0.3012419492,-0.1079922170,-0.3246218011,-0.2735515568,-0.0642324388,0.1083151150,0.2713293132,-0.0729496424,0.2331793495,-0.0007281240,-0.0010300044,0.3458944814,0.2007990339,-0.0413584219,0.9007375243,0.0026250314,0.3641091872,-0.2066284665,0.0353952601,0.9270611318,-0.0008903278,-0.0281824714,-0.0025187505
0.1600000000,-0.0032369890,-0.0027504065,0.0800330674,-0.0447050622,0.6625024464,-0.0625627321,-0.7451025906,-0.2852910460,0.0507348568,-0.1014505793,0.2965538008,-0.1054829615,-0.3331822770,-0.2682225477,-0.0761234939,0.0961558065,0.2530094853,-0.0503143239,0.2981825445,-0.0022851814,-0.0007758887,0.3471080209,0.2005681704,-0.0550880451,0.9153852370,0.0026418028,0.3650217066,-0.2063774399,0.0462479274,0.9585656598,-0.0008931402,-0.0276579773,-0.0025138025
0.1800000000,-0.0042842472,-0.0021881284,0.0791096144,-0.0453762753,0.6610567648,-0.0621513172,-0.7463793681,-0.2895118560,0.0529361092,-0.0895227926,0.2934405447,-0.1020811945,-0.3410427868,-0.2653057982,-0.0861936577,0.0747157741,0.2388765149,-0.0429096974,0.3046714637,-0.0023472886,-0.0002996056,0.3488133427,0.2004225603,-0.0701882488,0.9293309004,0.0026601908,0.3656045410,-0.2062010710,0.0594038964,0.9822369161,-0.0009082782,-0.0274827720,-0.0025139547
